Date,AEP_MW
2016-07-10,14978.083333333332
2016-07-17,16297.309523809525
2016-07-24,17176.595238095237
2016-07-31,16878.0
2016-08-07,16851.24404761905
2016-08-14,17463.73214285714
2016-08-21,16197.517857142857
2016-08-28,16344.059523809525
2016-09-04,15264.380952380952
2016-09-11,16124.589285714286
2016-09-18,14680.380952380952
2016-09-25,15113.589285714286
2016-10-02,12877.541666666668
2016-10-09,12923.815476190475
2016-10-16,12626.035714285714
2016-10-23,13186.279761904761
2016-10-30,12831.755952380952
2016-11-06,12825.575714285715
2016-11-13,13554.726190476189
2016-11-20,14038.136904761905
2016-11-27,14011.583333333332
2016-12-04,14498.029761904761
2016-12-11,16241.654761904761
2016-12-18,17003.761904761905
2016-12-25,15695.559523809525
2017-01-01,14156.833333333332
2017-01-08,16869.178571428572
2017-01-15,15852.119047619048
2017-01-22,14216.541666666666
2017-01-29,15333.880952380952
2017-02-05,16219.482142857143
2017-02-12,14855.142857142857
2017-02-19,14645.80357142857
2017-02-26,13499.684523809525
2017-03-05,14769.863095238095
2017-03-12,14486.699792960662
2017-03-19,16213.220238095239
2017-03-26,13764.690476190475
2017-04-02,13058.386904761905
2017-04-09,13344.148809523807
2017-04-16,12499.815476190475
2017-04-23,12812.976190476189
2017-04-30,13063.089285714286
2017-05-07,12563.24404761905
2017-05-14,12780.589285714286
2017-05-21,14013.815476190475
2017-05-28,12904.595238095239
2017-06-04,13533.773809523811
2017-06-11,13849.82142857143
2017-06-18,16240.089285714286
2017-06-25,14803.541666666668
2017-07-02,14596.672619047618
2017-07-09,14753.047619047618
2017-07-16,15960.44642857143
2017-07-23,16995.916666666664
2017-07-30,15185.815476190477
2017-08-06,15029.226190476193
2017-08-13,14562.607142857143
2017-08-20,16162.690476190477
2017-08-27,14773.494047619048
2017-09-03,13571.648809523811
2017-09-10,12788.130952380952
2017-09-17,13484.44642857143
2017-09-24,15249.625
2017-10-01,14085.880952380952
2017-10-08,13516.375
2017-10-15,13581.267857142857
2017-10-22,12871.666666666666
2017-10-29,13254.101190476193
2017-11-05,13562.858571428571
2017-11-12,14431.630952380952
2017-11-19,14673.05357142857
2017-11-26,14302.029761904761
2017-12-03,14567.083333333332
2017-12-10,15995.642857142857
2017-12-17,16833.910714285714
2017-12-24,14781.398809523811
2017-12-31,17607.98214285714
2018-01-07,20491.2619047619
2018-01-14,16691.85714285714
2018-01-21,18022.714285714283
2018-01-28,15323.726190476193
2018-02-04,17173.833333333332
2018-02-11,16606.690476190477
2018-02-18,15059.714285714286
2018-02-25,13507.898809523811
2018-03-04,14488.125
2018-03-11,15572.118788819876
2018-03-18,15620.023809523811
2018-03-25,15402.339285714286
2018-04-01,13734.494047619048
2018-04-08,14358.726190476189
2018-04-15,13712.309523809525
2018-04-22,14059.613095238094
2018-04-29,12656.886904761905
2018-05-06,13123.095238095239
2018-05-13,13321.458333333332
2018-05-20,14066.464285714286
2018-05-27,14572.130952380952
2018-06-03,15608.583333333332
2018-06-10,14143.154761904761
2018-06-17,15346.113095238094
2018-06-24,16134.809523809523
2018-07-01,16116.613095238095
2018-07-08,16118.92857142857
2018-07-15,16665.35714285714
2018-07-22,15574.601190476189
2018-07-29,15409.416666666668
2018-08-05,15239.241666666665
